id,n,L
1,1,0
2,2,1
3,3,2
4,4,3
5,5,3
6,6,3
7,7,3
8,8,3
9,9,5
10,10,4
11,11,6
12,12,6
13,13,6
14,14,6
15,15,5
16,16,6
17,17,6
18,18,6
19,19,6
20,20,6
21,21,6
22,22,6
23,23,6
24,24,7
25,25,6
26,26,7
27,27,9
28,28,6
29,29,7
30,30,9
31,31,7
32,32,6
33,33,6
34,34,8
35,35,6
36,36,9
37,37,9
38,38,6
39,39,9
40,40,9
41,41,9
42,42,9
43,43,9
44,44,9
45,45,9
46,46,6
47,47,9
48,48,9
49,49,9
50,50,9
51,51,9
52,52,9
53,53,9
54,54,9
55,55,9
56,56,9
57,57,9
58,58,9
59,59,9
60,60,9
61,61,9
62,62,9
63,63,9
64,64,9
65,65,9
66,66,9
67,67,9
68,68,9
69,69,9
70,70,9
71,71,9
72,72,9
73,73,9
74,74,9
75,75,9
76,76,9
77,77,9
78,78,9
79,79,9
80,80,9
81,81,12
82,82,9
83,83,9
84,84,9
85,85,9
86,86,12
87,87,12
88,88,9
89,89,9
90,90,12
91,91,9
92,92,9
93,93,9
94,94,12
95,95,9
96,96,9
97,97,9
98,98,9
99,99,12
100,100,12
101,101,12
102,102,9
103,103,9
104,104,12
105,105,12
106,106,12
107,107,12
108,108,9
109,109,9
110,110,12
111,111,9
112,112,12
113,113,12
114,114,12
115,115,12
116,116,12
117,117,12
118,118,9
119,119,12
120,120,12
121,121,12
122,122,12
123,123,9
124,124,12
125,125,12
126,126,9
127,127,12
128,128,12
129,129,9
130,130,12
131,131,12
132,132,12
133,133,12
134,134,12
135,135,12
136,136,12
137,137,12
138,138,12
139,139,12
140,140,12
141,141,12
142,142,12
143,143,12
144,144,12
145,145,12
146,146,9
147,147,12
148,148,12
149,149,9
150,150,12
151,151,12
152,152,9
153,153,12
154,154,12
155,155,12
156,156,12
157,157,12
158,158,12
159,159,12
160,160,12
161,161,12
162,162,9
163,163,12
164,164,12
165,165,12
166,166,12
167,167,12
168,168,9
169,169,12
170,170,12
171,171,12
172,172,12
173,173,12
174,174,12
175,175,12
176,176,12
177,177,12
178,178,12
179,179,12
180,180,9
181,181,12
