id,n,L
1,1,0
2,2,1
3,3,2
4,4,3
5,5,3
6,6,5
7,7,6
8,8,6
9,9,6
10,10,6
11,11,6
12,12,6
13,13,6
14,14,6
15,15,6
16,16,6
17,17,6
18,18,6
19,19,6
20,20,9
21,21,9
22,22,9
23,23,9
24,24,9
25,25,9
26,26,9
27,27,9
28,28,6
29,29,9
30,30,9
31,31,9
32,32,9
33,33,9
34,34,9
35,35,9
36,36,9
37,37,9
38,38,9
39,39,9
40,40,9
41,41,9
42,42,9
43,43,9
44,44,9
45,45,9
46,46,9
47,47,9
48,48,9
49,49,9
50,50,9
51,51,9
52,52,9
53,53,9
54,54,9
55,55,9
56,56,9
57,57,12
58,58,9
59,59,9
60,60,9
61,61,12
62,62,9
63,63,9
64,64,12
65,65,9
66,66,9
67,67,9
68,68,9
69,69,9
70,70,9
71,71,12
72,72,9
73,73,12
74,74,9
75,75,9
76,76,9
77,77,9
78,78,9
79,79,12
80,80,9
81,81,12
82,82,12
83,83,12
84,84,12
85,85,12
86,86,9
87,87,9
88,88,12
89,89,9
90,90,12
91,91,12
92,92,12
93,93,12
94,94,12
95,95,9
96,96,9
97,97,12
98,98,12
99,99,12
100,100,12
102,102,12
104,104,12
106,106,12
108,108,12
110,110,12
112,112,12
114,114,9
116,116,9
118,118,12
120,120,9
122,122,12
124,124,12
126,126,9
128,128,9
130,130,12
132,132,12
134,134,12
136,136,12
138,138,12
140,140,12
142,142,12
144,144,12
146,146,12
148,148,12
150,150,12
152,152,12
154,154,12
156,156,12
158,158,12
160,160,12
162,162,12
164,164,12
166,166,12
168,168,12
170,170,12
172,172,12
174,174,9
176,176,12
178,178,12
180,180,12
182,182,12
184,184,12
186,186,12
188,188,12
190,190,12
192,192,12
194,194,12
196,196,12
198,198,12
200,200,12
202,202,12
204,204,12
206,206,12
208,208,9
210,210,12
212,212,12
214,214,12
216,216,12
218,218,12
220,220,12
222,222,12
224,224,9
226,226,12
228,228,12
230,230,12
232,232,12
234,234,12
236,236,12
238,238,12
240,240,12
242,242,12
244,244,12
246,246,12
248,248,12
250,250,12
252,252,12
254,254,12
256,256,12
258,258,12
260,260,12
262,262,12
