id,n,L1,L2,L3
1,1,0,0,0
2,2,1,1,1
3,3,1,2,2
4,4,2,2,3
5,5,2,4,3
6,6,2,4,5
7,7,2,4,6
8,8,3,4,6
9,9,4,4,6
10,10,3,4,6
11,11,4,5,6
12,12,4,4,6
13,13,3,4,6
14,14,4,6,6
15,15,4,4,6
16,16,5,6,6
17,17,4,6,6
18,18,5,6,6
19,19,5,6,6
20,20,5,6,9
21,21,4,6,9
22,22,5,6,9
23,23,5,6,9
24,24,5,6,9
25,25,6,6,9
26,26,6,6,9
27,27,5,6,9
28,28,5,6,6
29,29,6,6,9
30,30,6,8,9
31,31,6,6,9
32,32,6,6,9
33,33,6,6,9
34,34,6,8,9
35,35,6,8,9
36,36,6,8,9
37,37,6,8,9
38,38,6,8,9
39,39,6,8,9
40,40,7,8,9
41,41,6,8,9
42,42,7,8,9
43,43,6,8,9
44,44,6,8,9
45,45,7,8,9
46,46,7,8,9
47,47,7,8,9
48,48,7,8,9
49,49,7,8,9
50,50,8,8,9
51,51,7,8,9
52,52,7,8,9
53,53,6,8,9
54,54,8,8,9
55,55,7,8,9
56,56,7,8,9
57,57,7,10,12
58,58,7,8,9
59,59,7,8,9
60,60,8,8,9
61,61,8,8,12
62,62,7,10,9
63,63,7,8,9
64,64,7,8,12
65,65,7,8,9
66,66,7,8,9
67,67,7,8,9
68,68,8,10,9
69,69,8,10,9
70,70,8,8,9
71,71,7,8,12
72,72,8,8,9
73,73,8,10,12
74,74,7,10,9
75,75,7,10,9
76,76,8,8,9
77,77,8,8,9
78,78,8,10,9
79,79,9,10,12
80,80,8,10,9
81,81,8,8,12
82,82,8,8,12
83,83,8,10,12
84,84,8,10,12
85,85,9,8,12
86,86,8,8,9
87,87,9,10,9
88,88,8,8,12
89,89,8,10,9
90,90,8,10,12
91,91,8,10,12
92,92,8,10,12
93,93,8,10,12
94,94,9,10,12
95,95,8,10,9
96,96,9,10,9
97,97,8,10,12
98,98,9,10,12
99,99,8,10,12
100,100,8,10,12
102,102,9,10,12
104,104,9,10,12
106,106,9,10,12
108,108,8,10,12
110,110,8,10,12
112,112,8,10,12
114,114,9,10,9
116,116,9,10,9
118,118,9,10,12
120,120,8,10,9
122,122,9,10,12
124,124,9,10,12
126,126,9,10,9
128,128,9,10,9
130,130,9,10,12
132,132,9,10,12
134,134,9,10,12
136,136,9,10,12
138,138,9,10,12
140,140,8,10,12
142,142,9,8,12
144,144,9,10,12
146,146,9,10,12
148,148,10,10,12
150,150,9,10,12
152,152,9,10,12
154,154,9,12,12
156,156,9,10,12
158,158,10,10,12
160,160,9,12,12
162,162,9,10,12
164,164,9,10,12
166,166,9,10,12
168,168,9,10,12
170,170,10,12,12
172,172,9,10,12
174,174,9,12,9
176,176,10,10,12
178,178,10,10,12
180,180,9,10,12
182,182,9,10,12
184,184,10,10,12
186,186,10,10,12
188,188,10,10,12
190,190,9,10,12
192,192,10,10,12
194,194,9,10,12
196,196,10,10,12
198,198,10,10,12
200,200,9,10,12
202,202,10,12,12
204,204,9,12,12
206,206,10,10,12
208,208,10,10,9
210,210,10,10,12
212,212,9,12,12
214,214,10,10,12
216,216,9,12,12
218,218,10,12,12
220,220,10,10,12
222,222,9,10,12
224,224,10,12,9
226,226,10,12,12
228,228,10,10,12
230,230,10,10,12
232,232,10,12,12
234,234,10,12,12
236,236,10,10,12
238,238,10,12,12
240,240,10,10,12
242,242,10,10,12
244,244,9,10,12
246,246,10,10,12
248,248,10,10,12
250,250,10,10,12
252,252,10,12,12
254,254,11,10,12
256,256,10,12,12
258,258,10,10,12
260,260,10,10,12
262,262,10,12,12
