id,n,p100,p95,p90,p85,p80,p75,p70,p65,p60,p55,p50,p45,p40,p35,p30,p25,p20,p15,p10,p05
10,10,0.111,0.111,0.081,0.081,0.076,0.076,0.076,0.076,0.056,0.056,0.051,0.051,0.051,0.051,0.000,0.000,0.000,0.000,0.000,0.000
20,20,0.157,0.137,0.117,0.101,0.101,0.101,0.101,0.096,0.091,0.081,0.066,0.061,0.056,0.051,0.051,0.051,0.050,0.000,0.000,0.000
30,30,0.192,0.152,0.141,0.141,0.121,0.106,0.101,0.101,0.101,0.101,0.101,0.091,0.081,0.076,0.061,0.050,0.050,0.050,0.000,0.000
40,40,0.203,0.157,0.147,0.142,0.137,0.121,0.106,0.106,0.101,0.101,0.101,0.096,0.096,0.091,0.070,0.060,0.050,0.050,0.050,0.000
50,50,0.202,0.172,0.157,0.147,0.146,0.136,0.131,0.121,0.111,0.101,0.101,0.101,0.096,0.091,0.086,0.075,0.065,0.050,0.050,0.000
60,60,0.222,0.182,0.162,0.156,0.151,0.141,0.141,0.131,0.116,0.111,0.101,0.101,0.100,0.095,0.095,0.090,0.065,0.055,0.050,0.000
70,70,0.227,0.197,0.171,0.161,0.151,0.151,0.151,0.151,0.146,0.131,0.121,0.101,0.101,0.101,0.100,0.095,0.090,0.055,0.050,0.050
80,80,0.232,0.186,0.166,0.156,0.146,0.141,0.131,0.126,0.125,0.121,0.110,0.110,0.105,0.100,0.085,0.080,0.070,0.060,0.049,0.049
90,90,0.257,0.196,0.181,0.181,0.166,0.156,0.141,0.136,0.136,0.126,0.125,0.120,0.120,0.100,0.095,0.090,0.085,0.075,0.050,0.049
100,100,0.257,0.211,0.191,0.161,0.161,0.156,0.155,0.150,0.146,0.131,0.121,0.110,0.110,0.110,0.105,0.095,0.095,0.065,0.059,0.049
110,110,0.237,0.201,0.186,0.166,0.156,0.156,0.150,0.150,0.135,0.125,0.125,0.125,0.110,0.105,0.100,0.095,0.090,0.075,0.054,0.049
120,120,0.251,0.200,0.190,0.165,0.160,0.150,0.150,0.150,0.150,0.149,0.135,0.110,0.110,0.110,0.099,0.099,0.099,0.094,0.054,0.048
130,130,0.262,0.206,0.186,0.166,0.156,0.150,0.150,0.150,0.140,0.140,0.125,0.115,0.110,0.105,0.100,0.099,0.099,0.079,0.059,0.048
140,140,0.261,0.205,0.185,0.175,0.165,0.155,0.150,0.149,0.144,0.134,0.134,0.124,0.119,0.104,0.099,0.094,0.094,0.088,0.064,0.048
150,150,0.265,0.199,0.189,0.169,0.154,0.154,0.149,0.144,0.143,0.138,0.133,0.119,0.109,0.104,0.103,0.098,0.093,0.088,0.063,0.048
160,160,0.275,0.200,0.184,0.179,0.159,0.149,0.149,0.148,0.143,0.134,0.133,0.123,0.114,0.108,0.098,0.098,0.097,0.083,0.072,0.047
170,170,0.266,0.199,0.188,0.165,0.154,0.149,0.148,0.148,0.148,0.133,0.114,0.109,0.108,0.099,0.098,0.097,0.097,0.096,0.059,0.047
180,180,0.270,0.196,0.193,0.188,0.169,0.155,0.150,0.149,0.148,0.143,0.142,0.137,0.128,0.109,0.104,0.099,0.098,0.097,0.082,0.048
190,190,0.275,0.209,0.194,0.189,0.179,0.165,0.154,0.153,0.148,0.148,0.142,0.142,0.128,0.123,0.113,0.108,0.103,0.097,0.082,0.054
200,200,0.269,0.203,0.192,0.173,0.159,0.158,0.153,0.148,0.143,0.142,0.141,0.132,0.114,0.113,0.112,0.103,0.093,0.091,0.068,0.048
210,210,0.284,0.213,0.198,0.192,0.177,0.163,0.157,0.157,0.147,0.147,0.146,0.145,0.140,0.118,0.112,0.107,0.102,0.096,0.090,0.052
220,220,0.297,0.209,0.197,0.186,0.175,0.157,0.152,0.147,0.147,0.146,0.145,0.135,0.130,0.120,0.107,0.101,0.096,0.095,0.084,0.047
230,230,0.281,0.202,0.195,0.181,0.171,0.161,0.151,0.146,0.145,0.144,0.139,0.130,0.121,0.116,0.106,0.100,0.095,0.093,0.074,0.045
240,240,0.277,0.207,0.194,0.185,0.171,0.157,0.155,0.150,0.145,0.140,0.135,0.134,0.121,0.119,0.110,0.101,0.100,0.094,0.079,0.050
250,250,0.296,0.206,0.193,0.180,0.170,0.157,0.151,0.149,0.144,0.143,0.142,0.133,0.124,0.119,0.110,0.100,0.099,0.093,0.087,0.050
260,260,0.306,0.207,0.194,0.188,0.175,0.170,0.157,0.152,0.147,0.144,0.143,0.138,0.133,0.128,0.119,0.110,0.096,0.094,0.087,0.059
270,270,0.295,0.214,0.196,0.188,0.179,0.165,0.160,0.155,0.147,0.145,0.143,0.142,0.129,0.124,0.115,0.110,0.104,0.094,0.090,0.058
