id,n,p100,p95,p90,p85,p80,p75,p70,p65,p60,p55,p50,p45,p40,p35,p30,p25,p20,p15,p10,p05,p00
10,10,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,20,0.091,0.066,0.051,0.051,0.051,0.051,0.051,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000,0.000,0.000,0.000,0.000
30,30,0.107,0.101,0.091,0.076,0.066,0.061,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.050,0.000,0.000,0.000,0.000
40,40,0.112,0.101,0.091,0.081,0.076,0.071,0.061,0.061,0.061,0.056,0.051,0.051,0.051,0.050,0.050,0.050,0.050,0.050,0.000,0.000,0.000
50,50,0.116,0.101,0.101,0.101,0.101,0.096,0.086,0.081,0.065,0.065,0.060,0.055,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000,0.000
60,60,0.121,0.101,0.096,0.091,0.091,0.081,0.070,0.070,0.065,0.060,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000
70,70,0.136,0.101,0.101,0.096,0.096,0.095,0.095,0.090,0.070,0.065,0.055,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.000,0.000
80,80,0.136,0.100,0.100,0.095,0.095,0.095,0.095,0.095,0.085,0.080,0.060,0.055,0.050,0.050,0.050,0.050,0.050,0.049,0.049,0.000,0.000
90,90,0.136,0.100,0.100,0.095,0.095,0.095,0.090,0.090,0.070,0.065,0.060,0.050,0.050,0.050,0.050,0.049,0.049,0.049,0.049,0.000,0.000
100,100,0.130,0.105,0.100,0.100,0.100,0.100,0.085,0.080,0.065,0.060,0.060,0.060,0.055,0.055,0.054,0.049,0.049,0.049,0.049,0.000,0.000
110,110,0.140,0.105,0.100,0.099,0.095,0.095,0.094,0.089,0.084,0.079,0.065,0.060,0.050,0.050,0.049,0.049,0.049,0.049,0.049,0.048,0.000
120,120,0.130,0.100,0.099,0.099,0.094,0.094,0.089,0.079,0.069,0.064,0.059,0.055,0.054,0.049,0.049,0.049,0.049,0.049,0.048,0.048,0.000
130,130,0.135,0.100,0.099,0.099,0.099,0.099,0.093,0.079,0.069,0.064,0.064,0.064,0.050,0.049,0.049,0.049,0.049,0.049,0.048,0.047,0.000
140,140,0.148,0.104,0.103,0.098,0.098,0.093,0.092,0.087,0.078,0.073,0.069,0.068,0.059,0.053,0.053,0.053,0.048,0.048,0.047,0.046,0.000
150,150,0.139,0.100,0.099,0.099,0.098,0.097,0.092,0.078,0.073,0.073,0.063,0.059,0.054,0.053,0.048,0.048,0.048,0.047,0.047,0.046,0.000
160,160,0.148,0.099,0.098,0.098,0.097,0.097,0.083,0.073,0.073,0.068,0.049,0.049,0.048,0.048,0.048,0.047,0.047,0.047,0.046,0.046,0.000
170,170,0.153,0.109,0.104,0.099,0.098,0.098,0.098,0.097,0.097,0.083,0.078,0.078,0.069,0.063,0.054,0.053,0.053,0.048,0.048,0.046,0.000
180,180,0.149,0.105,0.099,0.098,0.097,0.097,0.097,0.096,0.092,0.087,0.082,0.077,0.063,0.059,0.058,0.053,0.049,0.048,0.047,0.045,0.000
190,190,0.152,0.101,0.099,0.097,0.092,0.092,0.091,0.091,0.082,0.073,0.072,0.068,0.063,0.058,0.049,0.048,0.048,0.047,0.046,0.045,0.000
200,200,0.149,0.100,0.098,0.097,0.097,0.096,0.096,0.095,0.087,0.086,0.086,0.072,0.071,0.067,0.057,0.049,0.048,0.047,0.047,0.045,0.000
210,210,0.147,0.108,0.097,0.096,0.096,0.095,0.095,0.095,0.090,0.081,0.080,0.071,0.062,0.061,0.052,0.052,0.047,0.046,0.045,0.044,0.000
220,220,0.146,0.103,0.097,0.096,0.095,0.090,0.090,0.090,0.089,0.089,0.084,0.079,0.070,0.066,0.057,0.047,0.046,0.046,0.045,0.043,0.000
230,230,0.152,0.107,0.102,0.101,0.096,0.095,0.095,0.094,0.094,0.093,0.093,0.089,0.084,0.071,0.057,0.057,0.052,0.051,0.046,0.044,0.000
240,240,0.155,0.101,0.100,0.095,0.094,0.093,0.092,0.091,0.087,0.070,0.065,0.060,0.060,0.055,0.051,0.050,0.049,0.044,0.043,0.041,0.000
250,250,0.145,0.102,0.096,0.096,0.095,0.094,0.093,0.091,0.091,0.082,0.082,0.073,0.064,0.056,0.051,0.047,0.045,0.044,0.043,0.041,0.000
260,260,0.161,0.114,0.101,0.101,0.096,0.095,0.093,0.088,0.083,0.079,0.078,0.074,0.069,0.069,0.064,0.059,0.054,0.045,0.044,0.041,0.000
270,270,0.150,0.109,0.096,0.094,0.094,0.093,0.092,0.091,0.082,0.078,0.069,0.065,0.064,0.064,0.059,0.050,0.049,0.044,0.043,0.041,0.000
280,280,0.149,0.109,0.099,0.094,0.093,0.093,0.093,0.092,0.087,0.078,0.077,0.073,0.065,0.064,0.052,0.051,0.050,0.045,0.043,0.041,0.000
290,290,0.150,0.110,0.100,0.098,0.097,0.096,0.092,0.088,0.088,0.084,0.079,0.078,0.076,0.065,0.063,0.055,0.051,0.049,0.047,0.040,0.000
300,300,0.144,0.105,0.098,0.096,0.091,0.090,0.089,0.081,0.081,0.073,0.070,0.068,0.064,0.059,0.055,0.053,0.049,0.043,0.042,0.039,0.000
310,310,0.154,0.112,0.095,0.093,0.092,0.091,0.090,0.089,0.088,0.081,0.077,0.077,0.069,0.068,0.063,0.062,0.051,0.045,0.042,0.039,0.000
320,320,0.158,0.114,0.101,0.095,0.093,0.092,0.091,0.090,0.086,0.085,0.084,0.084,0.083,0.072,0.065,0.063,0.055,0.046,0.044,0.039,0.000
330,330,0.146,0.101,0.095,0.092,0.090,0.089,0.088,0.087,0.086,0.079,0.078,0.074,0.069,0.062,0.052,0.050,0.045,0.044,0.041,0.037,0.000
340,340,0.153,0.105,0.095,0.093,0.090,0.089,0.088,0.087,0.083,0.082,0.081,0.077,0.069,0.066,0.055,0.051,0.047,0.045,0.042,0.037,0.000
350,350,0.155,0.108,0.098,0.093,0.090,0.089,0.088,0.087,0.083,0.079,0.078,0.077,0.073,0.066,0.059,0.058,0.056,0.047,0.041,0.037,0.000
