id,n,L
0,0,-Inf
1,1,0.00
2,2,1.50
3,3,2.38
4,4,3.00
5,5,3.48
6,6,3.88
7,7,4.21
8,8,4.50
9,9,4.75
10,10,4.98
11,11,5.19
12,12,5.38
13,13,5.55
14,14,5.71
15,15,5.86
16,16,6.00
17,17,6.13
18,18,6.25
19,19,6.37
20,20,6.48
21,21,6.59
22,22,6.69
23,23,6.79
24,24,6.88
25,25,6.97
26,26,7.05
27,27,7.13
28,28,7.21
29,29,7.29
30,30,7.36
31,31,7.43
32,32,7.50
33,33,7.57
34,34,7.63
35,35,7.69
36,36,7.75
37,37,7.81
38,38,7.87
39,39,7.93
40,40,7.98
41,41,8.04
42,42,8.09
43,43,8.14
44,44,8.19
45,45,8.24
46,46,8.29
47,47,8.33
48,48,8.38
49,49,8.42
50,50,8.47
51,51,8.51
52,52,8.55
53,53,8.59
54,54,8.63
55,55,8.67
56,56,8.71
57,57,8.75
58,58,8.79
59,59,8.82
60,60,8.86
61,61,8.90
62,62,8.93
63,63,8.97
64,64,9.00
65,65,9.03
66,66,9.07
67,67,9.10
68,68,9.13
69,69,9.16
70,70,9.19
71,71,9.22
72,72,9.25
73,73,9.28
74,74,9.31
75,75,9.34
76,76,9.37
77,77,9.40
78,78,9.43
79,79,9.46
80,80,9.48
81,81,9.51
82,82,9.54
83,83,9.56
84,84,9.59
85,85,9.61
86,86,9.64
87,87,9.66
88,88,9.69
89,89,9.71
90,90,9.74
91,91,9.76
92,92,9.79
93,93,9.81
94,94,9.83
95,95,9.85
96,96,9.88
97,97,9.90
98,98,9.92
99,99,9.94
100,100,9.97
101,101,9.99
102,102,10.01
103,103,10.03
104,104,10.05
105,105,10.07
106,106,10.09
107,107,10.11
108,108,10.13
109,109,10.15
110,110,10.17
111,111,10.19
112,112,10.21
113,113,10.23
114,114,10.25
115,115,10.27
116,116,10.29
117,117,10.31
118,118,10.32
119,119,10.34
120,120,10.36
121,121,10.38
122,122,10.40
123,123,10.41
124,124,10.43
125,125,10.45
126,126,10.47
127,127,10.48
128,128,10.50
129,129,10.52
130,130,10.53
131,131,10.55
132,132,10.57
133,133,10.58
134,134,10.60
135,135,10.62
136,136,10.63
137,137,10.65
138,138,10.66
139,139,10.68
140,140,10.69
141,141,10.71
142,142,10.72
143,143,10.74
144,144,10.75
145,145,10.77
146,146,10.78
147,147,10.80
148,148,10.81
149,149,10.83
150,150,10.84
151,151,10.86
152,152,10.87
153,153,10.89
154,154,10.90
155,155,10.91
156,156,10.93
157,157,10.94
158,158,10.96
159,159,10.97
160,160,10.98
161,161,11.00
162,162,11.01
163,163,11.02
164,164,11.04
165,165,11.05
166,166,11.06
167,167,11.08
168,168,11.09
169,169,11.10
170,170,11.11
171,171,11.13
172,172,11.14
173,173,11.15
174,174,11.16
175,175,11.18
176,176,11.19
177,177,11.20
178,178,11.21
179,179,11.23
180,180,11.24
181,181,11.25
182,182,11.26
183,183,11.27
184,184,11.29
185,185,11.30
186,186,11.31
187,187,11.32
188,188,11.33
189,189,11.34
190,190,11.35
191,191,11.37
192,192,11.38
193,193,11.39
194,194,11.40
195,195,11.41
196,196,11.42
197,197,11.43
198,198,11.44
199,199,11.45
200,200,11.47
201,201,11.48
202,202,11.49
203,203,11.50
204,204,11.51
205,205,11.52
206,206,11.53
207,207,11.54
208,208,11.55
209,209,11.56
210,210,11.57
211,211,11.58
212,212,11.59
213,213,11.60
214,214,11.61
215,215,11.62
216,216,11.63
217,217,11.64
218,218,11.65
219,219,11.66
220,220,11.67
221,221,11.68
222,222,11.69
223,223,11.70
224,224,11.71
225,225,11.72
226,226,11.73
227,227,11.74
228,228,11.75
229,229,11.76
230,230,11.77
231,231,11.78
232,232,11.79
233,233,11.80
234,234,11.81
235,235,11.81
236,236,11.82
237,237,11.83
238,238,11.84
239,239,11.85
240,240,11.86
241,241,11.87
242,242,11.88
243,243,11.89
244,244,11.90
245,245,11.90
246,246,11.91
247,247,11.92
248,248,11.93
249,249,11.94
250,250,11.95
251,251,11.96
252,252,11.97
253,253,11.97
254,254,11.98
255,255,11.99
256,256,12.00
257,257,12.01
258,258,12.02
259,259,12.03
260,260,12.03
261,261,12.04
262,262,12.05
263,263,12.06
264,264,12.07
265,265,12.07
266,266,12.08
267,267,12.09
268,268,12.10
269,269,12.11
270,270,12.12
271,271,12.12
272,272,12.13
273,273,12.14
274,274,12.15
275,275,12.15
276,276,12.16
277,277,12.17
278,278,12.18
279,279,12.19
280,280,12.19
281,281,12.20
282,282,12.21
283,283,12.22
284,284,12.22
285,285,12.23
286,286,12.24
287,287,12.25
288,288,12.25
289,289,12.26
290,290,12.27
291,291,12.28
292,292,12.28
293,293,12.29
294,294,12.30
295,295,12.31
296,296,12.31
297,297,12.32
298,298,12.33
299,299,12.34
300,300,12.34
301,301,12.35
302,302,12.36
303,303,12.36
304,304,12.37
305,305,12.38
306,306,12.39
307,307,12.39
308,308,12.40
309,309,12.41
310,310,12.41
311,311,12.42
312,312,12.43
313,313,12.44
314,314,12.44
315,315,12.45
316,316,12.46
317,317,12.46
318,318,12.47
319,319,12.48
320,320,12.48
321,321,12.49
322,322,12.50
323,323,12.50
324,324,12.51
325,325,12.52
326,326,12.52
327,327,12.53
328,328,12.54
329,329,12.54
330,330,12.55
331,331,12.56
332,332,12.56
333,333,12.57
334,334,12.58
335,335,12.58
336,336,12.59
337,337,12.59
338,338,12.60
339,339,12.61
340,340,12.61
341,341,12.62
342,342,12.63
343,343,12.63
344,344,12.64
345,345,12.65
346,346,12.65
347,347,12.66
348,348,12.66
349,349,12.67
350,350,12.68
351,351,12.68
352,352,12.69
353,353,12.70
354,354,12.70
355,355,12.71
356,356,12.71
357,357,12.72
358,358,12.73
359,359,12.73
360,360,12.74
361,361,12.74
362,362,12.75
363,363,12.76
364,364,12.76
365,365,12.77
366,366,12.77
367,367,12.78
368,368,12.79
369,369,12.79
370,370,12.80
371,371,12.80
372,372,12.81
373,373,12.81
374,374,12.82
375,375,12.83
376,376,12.83
377,377,12.84
378,378,12.84
379,379,12.85
380,380,12.85
381,381,12.86
382,382,12.87
383,383,12.87
384,384,12.88
385,385,12.88
386,386,12.89
387,387,12.89
388,388,12.90
389,389,12.91
390,390,12.91
391,391,12.92
392,392,12.92
393,393,12.93
394,394,12.93
395,395,12.94
396,396,12.94
397,397,12.95
398,398,12.95
399,399,12.96
400,400,12.97
401,401,12.97
402,402,12.98
403,403,12.98
404,404,12.99
405,405,12.99
406,406,13.00
407,407,13.00
408,408,13.01
409,409,13.01
410,410,13.02
411,411,13.02
412,412,13.03
413,413,13.03
414,414,13.04
415,415,13.05
416,416,13.05
417,417,13.06
418,418,13.06
419,419,13.07
420,420,13.07
421,421,13.08
422,422,13.08
423,423,13.09
424,424,13.09
425,425,13.10
426,426,13.10
427,427,13.11
428,428,13.11
429,429,13.12
430,430,13.12
431,431,13.13
432,432,13.13
433,433,13.14
434,434,13.14
435,435,13.15
436,436,13.15
437,437,13.16
438,438,13.16
439,439,13.17
440,440,13.17
441,441,13.18
442,442,13.18
443,443,13.19
444,444,13.19
445,445,13.20
446,446,13.20
447,447,13.21
448,448,13.21
449,449,13.22
450,450,13.22
451,451,13.23
452,452,13.23
453,453,13.24
454,454,13.24
455,455,13.24
456,456,13.25
457,457,13.25
458,458,13.26
459,459,13.26
460,460,13.27
461,461,13.27
462,462,13.28
463,463,13.28
464,464,13.29
465,465,13.29
466,466,13.30
467,467,13.30
468,468,13.31
469,469,13.31
470,470,13.31
471,471,13.32
472,472,13.32
473,473,13.33
474,474,13.33
475,475,13.34
476,476,13.34
477,477,13.35
478,478,13.35
479,479,13.36
480,480,13.36
481,481,13.36
482,482,13.37
483,483,13.37
484,484,13.38
485,485,13.38
486,486,13.39
487,487,13.39
488,488,13.40
489,489,13.40
490,490,13.40
491,491,13.41
492,492,13.41
493,493,13.42
494,494,13.42
495,495,13.43
496,496,13.43
497,497,13.44
498,498,13.44
499,499,13.44
500,500,13.45
501,501,13.45
502,502,13.46
503,503,13.46
504,504,13.47
505,505,13.47
506,506,13.47
507,507,13.48
508,508,13.48
509,509,13.49
510,510,13.49
511,511,13.50
512,512,13.50
513,513,13.50
514,514,13.51
515,515,13.51
516,516,13.52
517,517,13.52
518,518,13.53
519,519,13.53
