id,n,L
1,1,0
2,2,1
3,3,1
4,4,2
5,5,2
6,6,2
7,7,2
8,8,3
9,9,4
10,10,3
11,11,4
12,12,4
13,13,3
14,14,4
15,15,4
16,16,5
17,17,4
18,18,5
19,19,5
20,20,5
21,21,4
22,22,5
23,23,5
24,24,5
25,25,6
26,26,6
27,27,5
28,28,5
29,29,6
30,30,6
31,31,6
32,32,6
33,33,6
34,34,6
35,35,6
36,36,6
37,37,6
38,38,6
39,39,6
40,40,7
41,41,6
42,42,7
43,43,6
44,44,6
45,45,7
46,46,7
47,47,7
48,48,7
49,49,7
50,50,8
51,51,7
52,52,7
53,53,6
54,54,8
55,55,7
56,56,7
57,57,7
58,58,7
59,59,7
60,60,8
61,61,8
62,62,7
63,63,7
64,64,7
65,65,7
66,66,7
67,67,7
68,68,8
69,69,8
70,70,8
71,71,7
72,72,8
73,73,8
74,74,7
75,75,7
76,76,8
77,77,8
78,78,8
79,79,9
80,80,8
81,81,8
82,82,8
83,83,8
84,84,8
85,85,9
86,86,8
87,87,9
88,88,8
89,89,8
90,90,8
91,91,8
92,92,8
93,93,8
94,94,9
95,95,8
96,96,9
97,97,8
98,98,9
99,99,8
100,100,8
102,102,9
104,104,9
106,106,9
108,108,8
110,110,8
112,112,8
114,114,9
116,116,9
118,118,9
120,120,8
122,122,9
124,124,9
126,126,9
128,128,9
130,130,9
132,132,9
134,134,9
136,136,9
138,138,9
140,140,8
142,142,9
144,144,9
146,146,9
148,148,10
150,150,9
152,152,9
154,154,9
156,156,9
158,158,10
160,160,9
162,162,9
164,164,9
166,166,9
168,168,9
170,170,10
172,172,9
174,174,9
176,176,10
178,178,10
180,180,9
182,182,9
184,184,10
186,186,10
188,188,10
190,190,9
192,192,10
194,194,9
196,196,10
198,198,10
200,200,9
202,202,10
204,204,9
206,206,10
208,208,10
210,210,10
212,212,9
214,214,10
216,216,9
218,218,10
220,220,10
222,222,9
224,224,10
226,226,10
228,228,10
230,230,10
232,232,10
234,234,10
236,236,10
238,238,10
240,240,10
242,242,10
244,244,9
246,246,10
248,248,10
250,250,10
252,252,10
254,254,11
256,256,10
258,258,10
260,260,10
262,262,10
