id,n,L
0,0,-Inf
1,1,0.00
2,2,1.00
3,3,1.58
4,4,2.00
5,5,2.32
6,6,2.58
7,7,2.81
8,8,3.00
9,9,3.17
10,10,3.32
11,11,3.46
12,12,3.58
13,13,3.70
14,14,3.81
15,15,3.91
16,16,4.00
17,17,4.09
18,18,4.17
19,19,4.25
20,20,4.32
21,21,4.39
22,22,4.46
23,23,4.52
24,24,4.58
25,25,4.64
26,26,4.70
27,27,4.75
28,28,4.81
29,29,4.86
30,30,4.91
31,31,4.95
32,32,5.00
33,33,5.04
34,34,5.09
35,35,5.13
36,36,5.17
37,37,5.21
38,38,5.25
39,39,5.29
40,40,5.32
41,41,5.36
42,42,5.39
43,43,5.43
44,44,5.46
45,45,5.49
46,46,5.52
47,47,5.55
48,48,5.58
49,49,5.61
50,50,5.64
51,51,5.67
52,52,5.70
53,53,5.73
54,54,5.75
55,55,5.78
56,56,5.81
57,57,5.83
58,58,5.86
59,59,5.88
60,60,5.91
61,61,5.93
62,62,5.95
63,63,5.98
64,64,6.00
65,65,6.02
66,66,6.04
67,67,6.07
68,68,6.09
69,69,6.11
70,70,6.13
71,71,6.15
72,72,6.17
73,73,6.19
74,74,6.21
75,75,6.23
76,76,6.25
77,77,6.27
78,78,6.29
79,79,6.30
80,80,6.32
81,81,6.34
82,82,6.36
83,83,6.38
84,84,6.39
85,85,6.41
86,86,6.43
87,87,6.44
88,88,6.46
89,89,6.48
90,90,6.49
91,91,6.51
92,92,6.52
93,93,6.54
94,94,6.55
95,95,6.57
96,96,6.58
97,97,6.60
98,98,6.61
99,99,6.63
100,100,6.64
101,101,6.66
102,102,6.67
103,103,6.69
104,104,6.70
105,105,6.71
106,106,6.73
107,107,6.74
108,108,6.75
109,109,6.77
110,110,6.78
111,111,6.79
112,112,6.81
113,113,6.82
114,114,6.83
115,115,6.85
116,116,6.86
117,117,6.87
118,118,6.88
119,119,6.89
120,120,6.91
121,121,6.92
122,122,6.93
123,123,6.94
124,124,6.95
125,125,6.97
126,126,6.98
127,127,6.99
128,128,7.00
129,129,7.01
130,130,7.02
131,131,7.03
132,132,7.04
133,133,7.06
134,134,7.07
135,135,7.08
136,136,7.09
137,137,7.10
138,138,7.11
139,139,7.12
140,140,7.13
141,141,7.14
142,142,7.15
143,143,7.16
144,144,7.17
145,145,7.18
146,146,7.19
147,147,7.20
148,148,7.21
149,149,7.22
150,150,7.23
151,151,7.24
152,152,7.25
153,153,7.26
154,154,7.27
155,155,7.28
156,156,7.29
157,157,7.29
158,158,7.30
159,159,7.31
160,160,7.32
161,161,7.33
162,162,7.34
163,163,7.35
164,164,7.36
165,165,7.37
166,166,7.38
167,167,7.38
168,168,7.39
169,169,7.40
170,170,7.41
171,171,7.42
172,172,7.43
173,173,7.43
174,174,7.44
175,175,7.45
176,176,7.46
177,177,7.47
178,178,7.48
179,179,7.48
180,180,7.49
181,181,7.50
182,182,7.51
183,183,7.52
184,184,7.52
185,185,7.53
186,186,7.54
187,187,7.55
188,188,7.55
189,189,7.56
190,190,7.57
191,191,7.58
192,192,7.58
193,193,7.59
194,194,7.60
195,195,7.61
196,196,7.61
197,197,7.62
198,198,7.63
199,199,7.64
200,200,7.64
201,201,7.65
202,202,7.66
203,203,7.67
204,204,7.67
205,205,7.68
206,206,7.69
207,207,7.69
208,208,7.70
209,209,7.71
210,210,7.71
211,211,7.72
212,212,7.73
213,213,7.73
214,214,7.74
215,215,7.75
216,216,7.75
217,217,7.76
218,218,7.77
219,219,7.77
220,220,7.78
221,221,7.79
222,222,7.79
223,223,7.80
224,224,7.81
225,225,7.81
226,226,7.82
227,227,7.83
228,228,7.83
229,229,7.84
230,230,7.85
231,231,7.85
232,232,7.86
233,233,7.86
234,234,7.87
235,235,7.88
236,236,7.88
237,237,7.89
238,238,7.89
239,239,7.90
240,240,7.91
241,241,7.91
242,242,7.92
243,243,7.92
244,244,7.93
245,245,7.94
246,246,7.94
247,247,7.95
248,248,7.95
249,249,7.96
250,250,7.97
251,251,7.97
252,252,7.98
253,253,7.98
254,254,7.99
255,255,7.99
256,256,8.00
257,257,8.01
258,258,8.01
259,259,8.02
260,260,8.02
261,261,8.03
262,262,8.03
263,263,8.04
264,264,8.04
265,265,8.05
266,266,8.06
267,267,8.06
268,268,8.07
269,269,8.07
270,270,8.08
271,271,8.08
272,272,8.09
273,273,8.09
274,274,8.10
275,275,8.10
276,276,8.11
277,277,8.11
278,278,8.12
279,279,8.12
280,280,8.13
281,281,8.13
282,282,8.14
283,283,8.14
284,284,8.15
285,285,8.15
286,286,8.16
287,287,8.16
288,288,8.17
289,289,8.17
290,290,8.18
291,291,8.18
292,292,8.19
293,293,8.19
294,294,8.20
295,295,8.20
296,296,8.21
297,297,8.21
298,298,8.22
299,299,8.22
300,300,8.23
301,301,8.23
302,302,8.24
303,303,8.24
304,304,8.25
305,305,8.25
306,306,8.26
307,307,8.26
308,308,8.27
309,309,8.27
310,310,8.28
311,311,8.28
312,312,8.29
313,313,8.29
314,314,8.29
315,315,8.30
316,316,8.30
317,317,8.31
318,318,8.31
319,319,8.32
320,320,8.32
321,321,8.33
322,322,8.33
323,323,8.34
324,324,8.34
325,325,8.34
326,326,8.35
327,327,8.35
328,328,8.36
329,329,8.36
330,330,8.37
331,331,8.37
332,332,8.38
333,333,8.38
334,334,8.38
335,335,8.39
336,336,8.39
337,337,8.40
338,338,8.40
339,339,8.41
340,340,8.41
341,341,8.41
342,342,8.42
343,343,8.42
344,344,8.43
345,345,8.43
346,346,8.43
347,347,8.44
348,348,8.44
349,349,8.45
350,350,8.45
351,351,8.46
352,352,8.46
353,353,8.46
354,354,8.47
355,355,8.47
356,356,8.48
357,357,8.48
358,358,8.48
359,359,8.49
360,360,8.49
361,361,8.50
362,362,8.50
363,363,8.50
364,364,8.51
365,365,8.51
366,366,8.52
367,367,8.52
368,368,8.52
369,369,8.53
370,370,8.53
371,371,8.54
372,372,8.54
373,373,8.54
374,374,8.55
375,375,8.55
376,376,8.55
377,377,8.56
378,378,8.56
379,379,8.57
380,380,8.57
381,381,8.57
382,382,8.58
383,383,8.58
384,384,8.58
385,385,8.59
386,386,8.59
387,387,8.60
388,388,8.60
389,389,8.60
390,390,8.61
391,391,8.61
392,392,8.61
393,393,8.62
394,394,8.62
395,395,8.63
396,396,8.63
397,397,8.63
398,398,8.64
399,399,8.64
400,400,8.64
401,401,8.65
402,402,8.65
403,403,8.65
404,404,8.66
405,405,8.66
406,406,8.67
407,407,8.67
408,408,8.67
409,409,8.68
410,410,8.68
411,411,8.68
412,412,8.69
413,413,8.69
414,414,8.69
415,415,8.70
416,416,8.70
417,417,8.70
418,418,8.71
419,419,8.71
420,420,8.71
421,421,8.72
422,422,8.72
423,423,8.72
424,424,8.73
425,425,8.73
426,426,8.73
427,427,8.74
428,428,8.74
429,429,8.74
430,430,8.75
431,431,8.75
432,432,8.75
433,433,8.76
434,434,8.76
435,435,8.76
436,436,8.77
437,437,8.77
438,438,8.77
439,439,8.78
440,440,8.78
441,441,8.78
442,442,8.79
443,443,8.79
444,444,8.79
445,445,8.80
446,446,8.80
447,447,8.80
448,448,8.81
449,449,8.81
450,450,8.81
451,451,8.82
452,452,8.82
453,453,8.82
454,454,8.83
455,455,8.83
456,456,8.83
457,457,8.84
458,458,8.84
459,459,8.84
460,460,8.85
461,461,8.85
462,462,8.85
463,463,8.85
464,464,8.86
465,465,8.86
466,466,8.86
467,467,8.87
468,468,8.87
469,469,8.87
470,470,8.88
471,471,8.88
472,472,8.88
473,473,8.89
474,474,8.89
475,475,8.89
476,476,8.89
477,477,8.90
478,478,8.90
479,479,8.90
480,480,8.91
481,481,8.91
482,482,8.91
483,483,8.92
484,484,8.92
485,485,8.92
486,486,8.92
487,487,8.93
488,488,8.93
489,489,8.93
490,490,8.94
491,491,8.94
492,492,8.94
493,493,8.95
494,494,8.95
495,495,8.95
496,496,8.95
497,497,8.96
498,498,8.96
499,499,8.96
500,500,8.97
501,501,8.97
502,502,8.97
503,503,8.97
504,504,8.98
505,505,8.98
506,506,8.98
507,507,8.99
508,508,8.99
509,509,8.99
510,510,8.99
511,511,9.00
512,512,9.00
513,513,9.00
514,514,9.01
515,515,9.01
516,516,9.01
517,517,9.01
518,518,9.02
519,519,9.02
