id,n,log2(n),log3(n),log4(n)
1,1,0.00,0.00,0.00
2,2,1.00,0.63,0.50
3,3,1.58,1.00,0.79
4,4,2.00,1.26,1.00
5,5,2.32,1.46,1.16
6,6,2.58,1.63,1.29
7,7,2.81,1.77,1.40
8,8,3.00,1.89,1.50
9,9,3.17,2.00,1.58
10,10,3.32,2.10,1.66
11,11,3.46,2.18,1.73
12,12,3.58,2.26,1.79
13,13,3.70,2.33,1.85
14,14,3.81,2.40,1.90
15,15,3.91,2.46,1.95
16,16,4.00,2.52,2.00
17,17,4.09,2.58,2.04
18,18,4.17,2.63,2.08
19,19,4.25,2.68,2.12
20,20,4.32,2.73,2.16
21,21,4.39,2.77,2.20
22,22,4.46,2.81,2.23
23,23,4.52,2.85,2.26
24,24,4.58,2.89,2.29
25,25,4.64,2.93,2.32
26,26,4.70,2.97,2.35
27,27,4.75,3.00,2.38
28,28,4.81,3.03,2.40
29,29,4.86,3.07,2.43
30,30,4.91,3.10,2.45
31,31,4.95,3.13,2.48
32,32,5.00,3.15,2.50
33,33,5.04,3.18,2.52
34,34,5.09,3.21,2.54
35,35,5.13,3.24,2.56
36,36,5.17,3.26,2.58
37,37,5.21,3.29,2.60
38,38,5.25,3.31,2.62
39,39,5.29,3.33,2.64
40,40,5.32,3.36,2.66
41,41,5.36,3.38,2.68
42,42,5.39,3.40,2.70
43,43,5.43,3.42,2.71
44,44,5.46,3.44,2.73
45,45,5.49,3.46,2.75
46,46,5.52,3.48,2.76
47,47,5.55,3.50,2.78
48,48,5.58,3.52,2.79
49,49,5.61,3.54,2.81
50,50,5.64,3.56,2.82
51,51,5.67,3.58,2.84
52,52,5.70,3.60,2.85
53,53,5.73,3.61,2.86
54,54,5.75,3.63,2.88
55,55,5.78,3.65,2.89
56,56,5.81,3.66,2.90
57,57,5.83,3.68,2.92
58,58,5.86,3.70,2.93
59,59,5.88,3.71,2.94
60,60,5.91,3.73,2.95
61,61,5.93,3.74,2.97
62,62,5.95,3.76,2.98
63,63,5.98,3.77,2.99
64,64,6.00,3.79,3.00
65,65,6.02,3.80,3.01
66,66,6.04,3.81,3.02
67,67,6.07,3.83,3.03
68,68,6.09,3.84,3.04
69,69,6.11,3.85,3.05
70,70,6.13,3.87,3.06
71,71,6.15,3.88,3.07
72,72,6.17,3.89,3.08
73,73,6.19,3.91,3.09
74,74,6.21,3.92,3.10
75,75,6.23,3.93,3.11
76,76,6.25,3.94,3.12
77,77,6.27,3.95,3.13
78,78,6.29,3.97,3.14
79,79,6.30,3.98,3.15
80,80,6.32,3.99,3.16
81,81,6.34,4.00,3.17
82,82,6.36,4.01,3.18
83,83,6.38,4.02,3.19
84,84,6.39,4.03,3.20
85,85,6.41,4.04,3.20
86,86,6.43,4.05,3.21
87,87,6.44,4.07,3.22
88,88,6.46,4.08,3.23
89,89,6.48,4.09,3.24
90,90,6.49,4.10,3.25
91,91,6.51,4.11,3.25
92,92,6.52,4.12,3.26
93,93,6.54,4.13,3.27
94,94,6.55,4.14,3.28
95,95,6.57,4.15,3.28
96,96,6.58,4.15,3.29
97,97,6.60,4.16,3.30
98,98,6.61,4.17,3.31
