id,n,L
1,1,0
2,2,1
3,3,2
4,4,3
5,5,4
6,6,5
7,7,5
8,8,6
9,9,6
10,10,6
11,11,6
12,12,6
13,13,6
14,14,6
15,15,6
16,16,9
17,17,6
18,18,9
19,19,9
20,20,9
21,21,9
22,22,9
23,23,6
24,24,6
25,25,9
26,26,9
27,27,9
28,28,9
29,29,9
30,30,9
31,31,9
32,32,9
33,33,9
34,34,9
35,35,9
36,36,9
37,37,9
38,38,9
39,39,9
40,40,9
41,41,9
42,42,9
43,43,9
44,44,9
45,45,9
46,46,9
47,47,9
48,48,9
49,49,12
50,50,9
51,51,9
52,52,9
53,53,12
54,54,9
55,55,12
56,56,9
57,57,9
58,58,12
59,59,12
60,60,12
61,61,12
62,62,12
63,63,12
64,64,12
65,65,9
66,66,12
67,67,9
68,68,9
69,69,12
70,70,9
71,71,12
72,72,9
73,73,9
74,74,12
75,75,12
76,76,12
77,77,12
78,78,12
79,79,12
80,80,9
81,81,9
82,82,12
83,83,9
84,84,9
85,85,12
86,86,12
87,87,9
88,88,9
89,89,9
90,90,9
91,91,12
92,92,12
93,93,12
94,94,9
95,95,12
96,96,9
97,97,12
98,98,9
99,99,12
100,100,12
101,101,12
102,102,9
103,103,9
104,104,9
105,105,9
106,106,12
107,107,12
108,108,12
109,109,9
110,110,12
111,111,12
112,112,12
113,113,12
114,114,12
115,115,9
116,116,12
117,117,9
118,118,9
119,119,12
120,120,9
121,121,12
122,122,12
123,123,12
124,124,12
125,125,12
126,126,12
127,127,12
128,128,12
129,129,9
130,130,9
131,131,12
132,132,12
133,133,12
134,134,12
135,135,9
136,136,12
137,137,12
138,138,9
139,139,12
140,140,9
141,141,12
142,142,12
143,143,12
144,144,12
145,145,12
146,146,12
147,147,12
148,148,12
149,149,12
150,150,12
151,151,12
152,152,12
153,153,12
154,154,12
155,155,12
156,156,12
157,157,12
158,158,12
159,159,12
160,160,12
161,161,9
162,162,12
163,163,12
164,164,12
165,165,12
166,166,9
167,167,12
168,168,12
169,169,12
170,170,12
171,171,12
172,172,12
173,173,9
174,174,12
175,175,12
176,176,12
177,177,12
178,178,12
179,179,12
180,180,12
181,181,12
