id,n,L
0,0,-Inf
1,1,0.00
2,2,1.70
3,3,2.69
4,4,3.40
5,5,3.95
6,6,4.39
7,7,4.77
8,8,5.10
9,9,5.39
10,10,5.65
11,11,5.88
12,12,6.09
13,13,6.29
14,14,6.47
15,15,6.64
16,16,6.80
17,17,6.95
18,18,7.09
19,19,7.22
20,20,7.35
21,21,7.47
22,22,7.58
23,23,7.69
24,24,7.79
25,25,7.89
26,26,7.99
27,27,8.08
28,28,8.17
29,29,8.26
30,30,8.34
31,31,8.42
32,32,8.50
33,33,8.58
34,34,8.65
35,35,8.72
36,36,8.79
37,37,8.86
38,38,8.92
39,39,8.99
40,40,9.05
41,41,9.11
42,42,9.17
43,43,9.22
44,44,9.28
45,45,9.34
46,46,9.39
47,47,9.44
48,48,9.49
49,49,9.55
50,50,9.59
51,51,9.64
52,52,9.69
53,53,9.74
54,54,9.78
55,55,9.83
56,56,9.87
57,57,9.92
58,58,9.96
59,59,10.00
60,60,10.04
61,61,10.08
62,62,10.12
63,63,10.16
64,64,10.20
65,65,10.24
66,66,10.28
67,67,10.31
68,68,10.35
69,69,10.38
70,70,10.42
71,71,10.45
72,72,10.49
73,73,10.52
74,74,10.56
75,75,10.59
76,76,10.62
77,77,10.65
78,78,10.69
79,79,10.72
80,80,10.75
81,81,10.78
82,82,10.81
83,83,10.84
84,84,10.87
85,85,10.90
86,86,10.92
87,87,10.95
88,88,10.98
89,89,11.01
90,90,11.04
91,91,11.06
92,92,11.09
93,93,11.12
94,94,11.14
95,95,11.17
96,96,11.19
97,97,11.22
98,98,11.25
99,99,11.27
100,100,11.29
101,101,11.32
102,102,11.34
103,103,11.37
104,104,11.39
105,105,11.41
106,106,11.44
107,107,11.46
108,108,11.48
109,109,11.51
110,110,11.53
111,111,11.55
112,112,11.57
113,113,11.59
114,114,11.62
115,115,11.64
116,116,11.66
117,117,11.68
118,118,11.70
119,119,11.72
120,120,11.74
121,121,11.76
122,122,11.78
123,123,11.80
124,124,11.82
125,125,11.84
126,126,11.86
127,127,11.88
128,128,11.90
129,129,11.92
130,130,11.94
131,131,11.96
132,132,11.98
133,133,11.99
134,134,12.01
135,135,12.03
136,136,12.05
137,137,12.07
138,138,12.08
139,139,12.10
140,140,12.12
141,141,12.14
142,142,12.15
143,143,12.17
144,144,12.19
145,145,12.21
146,146,12.22
147,147,12.24
148,148,12.26
149,149,12.27
150,150,12.29
151,151,12.31
152,152,12.32
153,153,12.34
154,154,12.35
155,155,12.37
156,156,12.39
157,157,12.40
158,158,12.42
159,159,12.43
160,160,12.45
161,161,12.46
162,162,12.48
163,163,12.49
164,164,12.51
165,165,12.52
166,166,12.54
167,167,12.55
168,168,12.57
169,169,12.58
170,170,12.60
171,171,12.61
172,172,12.62
173,173,12.64
174,174,12.65
175,175,12.67
176,176,12.68
177,177,12.69
178,178,12.71
179,179,12.72
180,180,12.74
181,181,12.75
182,182,12.76
183,183,12.78
184,184,12.79
185,185,12.80
186,186,12.82
187,187,12.83
188,188,12.84
189,189,12.86
190,190,12.87
191,191,12.88
192,192,12.89
193,193,12.91
194,194,12.92
195,195,12.93
196,196,12.95
197,197,12.96
198,198,12.97
199,199,12.98
200,200,12.99
201,201,13.01
202,202,13.02
203,203,13.03
204,204,13.04
205,205,13.06
206,206,13.07
207,207,13.08
208,208,13.09
209,209,13.10
210,210,13.11
211,211,13.13
212,212,13.14
213,213,13.15
214,214,13.16
215,215,13.17
216,216,13.18
217,217,13.19
218,218,13.21
219,219,13.22
220,220,13.23
221,221,13.24
222,222,13.25
223,223,13.26
224,224,13.27
225,225,13.28
226,226,13.29
227,227,13.31
228,228,13.32
229,229,13.33
230,230,13.34
231,231,13.35
232,232,13.36
233,233,13.37
234,234,13.38
235,235,13.39
236,236,13.40
237,237,13.41
238,238,13.42
239,239,13.43
240,240,13.44
241,241,13.45
242,242,13.46
243,243,13.47
244,244,13.48
245,245,13.49
246,246,13.50
247,247,13.51
248,248,13.52
249,249,13.53
250,250,13.54
251,251,13.55
252,252,13.56
253,253,13.57
254,254,13.58
255,255,13.59
256,256,13.60
257,257,13.61
258,258,13.62
259,259,13.63
260,260,13.64
261,261,13.65
262,262,13.66
263,263,13.67
264,264,13.68
265,265,13.68
266,266,13.69
267,267,13.70
268,268,13.71
269,269,13.72
270,270,13.73
271,271,13.74
272,272,13.75
273,273,13.76
274,274,13.77
275,275,13.78
276,276,13.78
277,277,13.79
278,278,13.80
279,279,13.81
280,280,13.82
281,281,13.83
282,282,13.84
283,283,13.85
284,284,13.85
285,285,13.86
286,286,13.87
287,287,13.88
288,288,13.89
289,289,13.90
290,290,13.91
291,291,13.91
292,292,13.92
293,293,13.93
294,294,13.94
295,295,13.95
296,296,13.96
297,297,13.96
298,298,13.97
299,299,13.98
300,300,13.99
301,301,14.00
302,302,14.01
303,303,14.01
304,304,14.02
305,305,14.03
306,306,14.04
307,307,14.05
308,308,14.05
309,309,14.06
310,310,14.07
311,311,14.08
312,312,14.09
313,313,14.09
314,314,14.10
315,315,14.11
316,316,14.12
317,317,14.12
318,318,14.13
319,319,14.14
320,320,14.15
321,321,14.15
322,322,14.16
323,323,14.17
324,324,14.18
325,325,14.19
326,326,14.19
327,327,14.20
328,328,14.21
329,329,14.22
330,330,14.22
331,331,14.23
332,332,14.24
333,333,14.24
334,334,14.25
335,335,14.26
336,336,14.27
337,337,14.27
338,338,14.28
339,339,14.29
340,340,14.30
341,341,14.30
342,342,14.31
343,343,14.32
344,344,14.32
345,345,14.33
346,346,14.34
347,347,14.35
348,348,14.35
349,349,14.36
350,350,14.37
351,351,14.37
352,352,14.38
353,353,14.39
354,354,14.39
355,355,14.40
356,356,14.41
357,357,14.42
358,358,14.42
359,359,14.43
360,360,14.44
361,361,14.44
362,362,14.45
363,363,14.46
364,364,14.46
365,365,14.47
366,366,14.48
367,367,14.48
368,368,14.49
369,369,14.50
370,370,14.50
371,371,14.51
372,372,14.52
373,373,14.52
374,374,14.53
375,375,14.54
376,376,14.54
377,377,14.55
378,378,14.56
379,379,14.56
380,380,14.57
381,381,14.58
382,382,14.58
383,383,14.59
384,384,14.59
385,385,14.60
386,386,14.61
387,387,14.61
388,388,14.62
389,389,14.63
390,390,14.63
391,391,14.64
392,392,14.65
393,393,14.65
394,394,14.66
395,395,14.66
396,396,14.67
397,397,14.68
398,398,14.68
399,399,14.69
400,400,14.69
401,401,14.70
402,402,14.71
403,403,14.71
404,404,14.72
405,405,14.73
406,406,14.73
407,407,14.74
408,408,14.74
409,409,14.75
410,410,14.76
411,411,14.76
412,412,14.77
413,413,14.77
414,414,14.78
415,415,14.78
416,416,14.79
417,417,14.80
418,418,14.80
419,419,14.81
420,420,14.81
421,421,14.82
422,422,14.83
423,423,14.83
424,424,14.84
425,425,14.84
426,426,14.85
427,427,14.85
428,428,14.86
429,429,14.87
430,430,14.87
431,431,14.88
432,432,14.88
433,433,14.89
434,434,14.89
435,435,14.90
436,436,14.91
437,437,14.91
438,438,14.92
439,439,14.92
440,440,14.93
441,441,14.93
442,442,14.94
443,443,14.94
444,444,14.95
445,445,14.96
446,446,14.96
447,447,14.97
448,448,14.97
449,449,14.98
450,450,14.98
451,451,14.99
452,452,14.99
453,453,15.00
454,454,15.01
455,455,15.01
456,456,15.02
457,457,15.02
458,458,15.03
459,459,15.03
460,460,15.04
461,461,15.04
462,462,15.05
463,463,15.05
464,464,15.06
465,465,15.06
466,466,15.07
467,467,15.07
468,468,15.08
469,469,15.08
470,470,15.09
471,471,15.10
472,472,15.10
473,473,15.11
474,474,15.11
475,475,15.12
476,476,15.12
477,477,15.13
478,478,15.13
479,479,15.14
480,480,15.14
481,481,15.15
482,482,15.15
483,483,15.16
484,484,15.16
485,485,15.17
486,486,15.17
487,487,15.18
488,488,15.18
489,489,15.19
490,490,15.19
491,491,15.20
492,492,15.20
493,493,15.21
494,494,15.21
495,495,15.22
496,496,15.22
497,497,15.23
498,498,15.23
499,499,15.24
500,500,15.24
501,501,15.25
502,502,15.25
503,503,15.26
504,504,15.26
505,505,15.27
506,506,15.27
507,507,15.28
508,508,15.28
509,509,15.29
510,510,15.29
511,511,15.30
512,512,15.30
513,513,15.30
514,514,15.31
515,515,15.31
516,516,15.32
517,517,15.32
518,518,15.33
519,519,15.33
