id,n,L
0,0,-Inf
1,1,0.00
2,2,2.00
3,3,3.17
4,4,4.00
5,5,4.64
6,6,5.17
7,7,5.61
8,8,6.00
9,9,6.34
10,10,6.64
11,11,6.92
12,12,7.17
13,13,7.40
14,14,7.61
15,15,7.81
16,16,8.00
17,17,8.17
18,18,8.34
19,19,8.50
20,20,8.64
21,21,8.78
22,22,8.92
23,23,9.05
24,24,9.17
25,25,9.29
26,26,9.40
27,27,9.51
28,28,9.61
29,29,9.72
30,30,9.81
31,31,9.91
32,32,10.00
33,33,10.09
34,34,10.17
35,35,10.26
36,36,10.34
37,37,10.42
38,38,10.50
39,39,10.57
40,40,10.64
41,41,10.72
42,42,10.78
43,43,10.85
44,44,10.92
45,45,10.98
46,46,11.05
47,47,11.11
48,48,11.17
49,49,11.23
50,50,11.29
51,51,11.34
52,52,11.40
53,53,11.46
54,54,11.51
55,55,11.56
56,56,11.61
57,57,11.67
58,58,11.72
59,59,11.77
60,60,11.81
61,61,11.86
62,62,11.91
63,63,11.95
64,64,12.00
65,65,12.04
66,66,12.09
67,67,12.13
68,68,12.17
69,69,12.22
70,70,12.26
71,71,12.30
72,72,12.34
73,73,12.38
74,74,12.42
75,75,12.46
76,76,12.50
77,77,12.53
78,78,12.57
79,79,12.61
80,80,12.64
81,81,12.68
82,82,12.72
83,83,12.75
84,84,12.78
85,85,12.82
86,86,12.85
87,87,12.89
88,88,12.92
89,89,12.95
90,90,12.98
91,91,13.02
92,92,13.05
93,93,13.08
94,94,13.11
95,95,13.14
96,96,13.17
97,97,13.20
98,98,13.23
99,99,13.26
100,100,13.29
101,101,13.32
102,102,13.34
103,103,13.37
104,104,13.40
105,105,13.43
106,106,13.46
107,107,13.48
108,108,13.51
109,109,13.54
110,110,13.56
111,111,13.59
112,112,13.61
113,113,13.64
114,114,13.67
115,115,13.69
116,116,13.72
117,117,13.74
118,118,13.77
119,119,13.79
120,120,13.81
121,121,13.84
122,122,13.86
123,123,13.89
124,124,13.91
125,125,13.93
126,126,13.95
127,127,13.98
128,128,14.00
129,129,14.02
130,130,14.04
131,131,14.07
132,132,14.09
133,133,14.11
134,134,14.13
135,135,14.15
136,136,14.17
137,137,14.20
138,138,14.22
139,139,14.24
140,140,14.26
141,141,14.28
142,142,14.30
143,143,14.32
144,144,14.34
145,145,14.36
146,146,14.38
147,147,14.40
148,148,14.42
149,149,14.44
150,150,14.46
151,151,14.48
152,152,14.50
153,153,14.51
154,154,14.53
155,155,14.55
156,156,14.57
157,157,14.59
158,158,14.61
159,159,14.63
160,160,14.64
161,161,14.66
162,162,14.68
163,163,14.70
164,164,14.72
165,165,14.73
166,166,14.75
167,167,14.77
168,168,14.78
169,169,14.80
170,170,14.82
171,171,14.84
172,172,14.85
173,173,14.87
174,174,14.89
175,175,14.90
176,176,14.92
177,177,14.94
178,178,14.95
179,179,14.97
180,180,14.98
181,181,15.00
182,182,15.02
183,183,15.03
184,184,15.05
185,185,15.06
186,186,15.08
187,187,15.09
188,188,15.11
189,189,15.12
190,190,15.14
191,191,15.15
192,192,15.17
193,193,15.18
194,194,15.20
195,195,15.21
196,196,15.23
197,197,15.24
198,198,15.26
199,199,15.27
200,200,15.29
201,201,15.30
202,202,15.32
203,203,15.33
204,204,15.34
205,205,15.36
206,206,15.37
207,207,15.39
208,208,15.40
209,209,15.41
210,210,15.43
211,211,15.44
212,212,15.46
213,213,15.47
214,214,15.48
215,215,15.50
216,216,15.51
217,217,15.52
218,218,15.54
219,219,15.55
220,220,15.56
221,221,15.58
222,222,15.59
223,223,15.60
224,224,15.61
225,225,15.63
226,226,15.64
227,227,15.65
228,228,15.67
229,229,15.68
230,230,15.69
231,231,15.70
232,232,15.72
233,233,15.73
234,234,15.74
235,235,15.75
236,236,15.77
237,237,15.78
238,238,15.79
239,239,15.80
240,240,15.81
241,241,15.83
242,242,15.84
243,243,15.85
244,244,15.86
245,245,15.87
246,246,15.89
247,247,15.90
248,248,15.91
249,249,15.92
250,250,15.93
251,251,15.94
252,252,15.95
253,253,15.97
254,254,15.98
255,255,15.99
256,256,16.00
257,257,16.01
258,258,16.02
259,259,16.03
260,260,16.04
261,261,16.06
262,262,16.07
263,263,16.08
264,264,16.09
265,265,16.10
266,266,16.11
267,267,16.12
268,268,16.13
269,269,16.14
270,270,16.15
271,271,16.16
272,272,16.17
273,273,16.19
274,274,16.20
275,275,16.21
276,276,16.22
277,277,16.23
278,278,16.24
279,279,16.25
280,280,16.26
281,281,16.27
282,282,16.28
283,283,16.29
284,284,16.30
285,285,16.31
286,286,16.32
287,287,16.33
288,288,16.34
289,289,16.35
290,290,16.36
291,291,16.37
292,292,16.38
293,293,16.39
294,294,16.40
295,295,16.41
296,296,16.42
297,297,16.43
298,298,16.44
299,299,16.45
300,300,16.46
301,301,16.47
302,302,16.48
303,303,16.49
304,304,16.50
305,305,16.51
306,306,16.51
307,307,16.52
308,308,16.53
309,309,16.54
310,310,16.55
311,311,16.56
312,312,16.57
313,313,16.58
314,314,16.59
315,315,16.60
316,316,16.61
317,317,16.62
318,318,16.63
319,319,16.63
320,320,16.64
321,321,16.65
322,322,16.66
323,323,16.67
324,324,16.68
325,325,16.69
326,326,16.70
327,327,16.71
328,328,16.72
329,329,16.72
330,330,16.73
331,331,16.74
332,332,16.75
333,333,16.76
334,334,16.77
335,335,16.78
336,336,16.78
337,337,16.79
338,338,16.80
339,339,16.81
340,340,16.82
341,341,16.83
342,342,16.84
343,343,16.84
344,344,16.85
345,345,16.86
346,346,16.87
347,347,16.88
348,348,16.89
349,349,16.89
350,350,16.90
351,351,16.91
352,352,16.92
353,353,16.93
354,354,16.94
355,355,16.94
356,356,16.95
357,357,16.96
358,358,16.97
359,359,16.98
360,360,16.98
361,361,16.99
362,362,17.00
363,363,17.01
364,364,17.02
365,365,17.02
366,366,17.03
367,367,17.04
368,368,17.05
369,369,17.05
370,370,17.06
371,371,17.07
372,372,17.08
373,373,17.09
374,374,17.09
375,375,17.10
376,376,17.11
377,377,17.12
378,378,17.12
379,379,17.13
380,380,17.14
381,381,17.15
382,382,17.15
383,383,17.16
384,384,17.17
385,385,17.18
386,386,17.18
387,387,17.19
388,388,17.20
389,389,17.21
390,390,17.21
391,391,17.22
392,392,17.23
393,393,17.24
394,394,17.24
395,395,17.25
396,396,17.26
397,397,17.27
398,398,17.27
399,399,17.28
400,400,17.29
401,401,17.29
402,402,17.30
403,403,17.31
404,404,17.32
405,405,17.32
406,406,17.33
407,407,17.34
408,408,17.34
409,409,17.35
410,410,17.36
411,411,17.37
412,412,17.37
413,413,17.38
414,414,17.39
415,415,17.39
416,416,17.40
417,417,17.41
418,418,17.41
419,419,17.42
420,420,17.43
421,421,17.44
422,422,17.44
423,423,17.45
424,424,17.46
425,425,17.46
426,426,17.47
427,427,17.48
428,428,17.48
429,429,17.49
430,430,17.50
431,431,17.50
432,432,17.51
433,433,17.52
434,434,17.52
435,435,17.53
436,436,17.54
437,437,17.54
438,438,17.55
439,439,17.56
440,440,17.56
441,441,17.57
442,442,17.58
443,443,17.58
444,444,17.59
445,445,17.60
446,446,17.60
447,447,17.61
448,448,17.61
449,449,17.62
450,450,17.63
451,451,17.63
452,452,17.64
453,453,17.65
454,454,17.65
455,455,17.66
456,456,17.67
457,457,17.67
458,458,17.68
459,459,17.68
460,460,17.69
461,461,17.70
462,462,17.70
463,463,17.71
464,464,17.72
465,465,17.72
466,466,17.73
467,467,17.73
468,468,17.74
469,469,17.75
470,470,17.75
471,471,17.76
472,472,17.77
473,473,17.77
474,474,17.78
475,475,17.78
476,476,17.79
477,477,17.80
478,478,17.80
479,479,17.81
480,480,17.81
481,481,17.82
482,482,17.83
483,483,17.83
484,484,17.84
485,485,17.84
486,486,17.85
487,487,17.86
488,488,17.86
489,489,17.87
490,490,17.87
491,491,17.88
492,492,17.89
493,493,17.89
494,494,17.90
495,495,17.90
496,496,17.91
497,497,17.91
498,498,17.92
499,499,17.93
500,500,17.93
501,501,17.94
502,502,17.94
503,503,17.95
504,504,17.95
505,505,17.96
506,506,17.97
507,507,17.97
508,508,17.98
509,509,17.98
510,510,17.99
511,511,17.99
512,512,18.00
513,513,18.01
514,514,18.01
515,515,18.02
516,516,18.02
517,517,18.03
518,518,18.03
519,519,18.04
